 time t = 0
 2413194864.94 0 0 41148.3848 4  17
 time t = 4.75517289064e-009
 104445365.361 0 -1 41148.0561 6  2
 104445365.361 0 -1 41148.0561 6  3
 104445365.361 0 -1 41148.0561 6  4
 767445491.442 0 0 41148.3848 6  2
 767445491.444 0 0 41148.3848 6  3
 1534890982.89 0 0 41148.3848 6  4
 time t = 5.00268138701e-009
 6992843.27789 0 -1 10000 4  0
 1886836914.59 0 0 41148.3848 4  6
 2360188168.15 0 0 41148.3848 4  7
 490581.866592 0 0 41148.3848 4  8
 1987960481.82 0 0 41148.3848 4  13
 4557.98422964 0 0 41148.3848 4  14
 547208.719897 0 0 41148.3848 4  15
 2663973884.1 0 0 41148.3848 4  16
 10441864.0165 0 0 41148.3848 4  17
 time t = 5.0652355564e-009
 85070096.7085 0 -1 41148.3848 16  2
 71602764.9316 0 -1 41148.3848 16  3
 156672861.648 0 -1 41148.3848 16  4
 2988362.9945 0 0 41148.3848 16  2
 1568657549.29 0 0 41148.3848 16  3
 79456.281187 0 0 41148.3848 16  4
 time t = 5.36974759393e-009
 6992843.28438 0 -1 10000 3  0
 943257586.975 0 0 41148.3848 3  6
 1169769240.88 0 0 41148.3848 3  7
 1180138105.29 0 0 41148.3848 3  8
 1190506969.73 0 0 41148.3848 3  9
 1405018.23518 0 0 41148.3848 3  13
 1996656562.69 0 0 41148.3848 3  14
 315540118.102 0 0 41148.3848 3  15
 1998870019.44 0 0 41148.3848 3  16
 16660312.8983 0 0 41148.3848 3  17
 time t = 5.53966179504e-009
 77433273.6626 0 -1 41148.3848 14  2
 79239587.9779 0 -1 41148.3848 14  3
 156672861.647 0 -1 41148.3848 14  4
 187573495.908 0 0 41148.3848 14  2
 261009663.372 0 0 41148.3848 14  3
 2077301407.14 0 0 41148.3848 14  4
 time t = 5.80981178092e-009
 6992843.27789 0 -1 10000 4  0
 1886129371.26 0 0 41148.3848 4  6
 43908.8245879 0 0 41148.3848 4  8
 2359749612.36 0 0 41148.3848 4  9
 46413860.1937 0 0 41148.3848 4  13
 2660218680.22 0 0 41148.3848 4  14
 3274896.40595 0 0 41148.3848 4  15
 32905.9297415 0 0 41148.3848 4  16
 1951239105.99 0 0 41148.3848 4  17
 time t = 6.15460568329e-009
